Name,Sensor,Digitizer,IP,X,Y,Longitude,Latitude,Elevation,
102,NS026,ND206,192.168.50.2,957094,920285,-71.463816,3.875233,186.4,102
103-1,NS004,ND136,0,966090,915301,-71.38280299,3.83019699,162,103-1
106,NS93,ND064,192.168.218.130,961460,909796,-71.4244690072,3.7803990114,178.74,106
107-1,NS005,ND007,0,968868,910091,-71.357776,3.783089,189,107-1
109,NS247,ND211,192.168.100.211,962996,902358,-71.410616,3.713144,150.75,109
110,NS010,ND241,192.168.100.57,967314,921974,-71.3718,3.890541,192.61,110
111,NS017,ND184,192.168.100.99,973774,917097,-71.313632,3.846456,186.49,111
113-1,NS099,ND079,0,968507,911620,-71.36102898,3.79691396,196,113-1
114,NS29,ND129,192.168.100.129,976006,921493,-71.293544,3.886217,168.7,114
115-1,NS243,ND243,0,938307,908312,-71.632888,3.766869,207,115-1
116-1,NS188,ND189,0,948633,925922,-71.540016,3.926166,206,116-1
201,NS111,ND149,0,952035,921872,-71.509368,3.889561,194,201
202,NS101,ND107,0,955987,926938,-71.473808,3.935394,200,202
204,ND146,ND146,0,952011,933397,-71.50964,3.993786,180,204
205,NS179,ND179,0,942958,920523,-71.59109,3.87732,195,205
207,NS181,ND181,0,939953,912957,-71.618096,3.808887,201,207
208,NS196,ND196,0,939975,905224,-71.617856,3.738958,195,208
209,NS073,ND073,0,935633,905977,-71.656944,3.745739,201,209
