266 28  -78  167   17   75    6  329   72      72 62  -96	-71.549 3.921
242 27 -107  164   19  258    8    8   70      80 64  -81	-71.540 3.927
258 31  -74  156   15   64    8  307   73      59 60  -99	-71.565 3.922
276 32 -106  198   14  290    8  303   69     114 59  -80	-71.570 3.920
 88  0   95  173   45  263    0  353   45     263 90   90	-71.527 3.951
291 32  -57  177   17   82   17  310   66      73 63 -108	-71.590 3.917
 87  9   86  182   54   90    1    0   36     272 81   90	-71.538 3.960
268 34  -62  158   14   64   15  289   69      55 60 -107	-71.568 3.934
287 57  -58  355    7   88   26  252   63      58 44 -129	-71.345 3.841
 93  4   79  195   49  103    1   13   41     285 86   90	-71.332 3.843
243 60 -130    0    7  266   34   99   55     122 48  -41	-71.317 3.826
